Time (s) Run #13,Time (s) Run #14,Time (s) Run #15,Time (s) Run #16,Time (s) Run #17,Time (s) Run #18,Time (s) Run #19,Time (s) Run #20,Time (s) Run #21,Time (s) Run #22,Position (m) Run #13,Position (m) Run #14,Position (m) Run #15,Position (m) Run #16,Position (m) Run #17,Position (m) Run #18,Position (m) Run #19,Position (m) Run #20,Position (m) Run #21,Position (m) Run #22
-1.04,-0.6799999999999999,-2.64,-0.52,-1.62,-0.45999999999999996,-0.6599999999999999,-0.54,-0.36,-0.14,,,,,,,,,,
-1.02,-0.6599999999999999,-2.62,-0.5,-1.6,-0.43999999999999995,-0.6399999999999999,-0.52,-0.33999999999999997,-0.12,,,,,,,,,,
-1.0,-0.64,-2.6,-0.4800000000000001,-1.58,-0.42000000000000004,-0.62,-0.5000000000000001,-0.32000000000000006,-0.10000000000000009,,,,,,,,,,
-0.9800000000000001,-0.62,-2.58,-0.4600000000000001,-1.56,-0.4,-0.6,-0.4800000000000001,-0.30000000000000004,-0.08000000000000007,,,,,,,,,,
-0.9600000000000001,-0.6,-2.56,-0.44000000000000006,-1.54,-0.38,-0.58,-0.4600000000000001,-0.28,-0.06000000000000005,,,,,,,,,,
-0.9400000000000001,-0.58,-2.54,-0.42000000000000004,-1.52,-0.36,-0.5599999999999999,-0.44000000000000006,-0.26,-0.040000000000000036,,,,,,,,,,
-0.92,-0.5599999999999999,-2.52,-0.4,-1.5,-0.33999999999999997,-0.5399999999999999,-0.42000000000000004,-0.24,-0.020000000000000018,,,,,,,,,,
-0.9,-0.5399999999999999,-2.5,-0.38,-1.48,-0.31999999999999995,-0.5199999999999999,-0.4,-0.21999999999999997,0.0,,,,,,,,,,1.02
-0.8800000000000001,-0.52,-2.4800000000000004,-0.3600000000000001,-1.4600000000000002,-0.30000000000000004,-0.5,-0.3800000000000001,-0.20000000000000007,0.019999999999999907,,,,,,,,,,1.0
-0.8600000000000001,-0.5,-2.46,-0.3400000000000001,-1.4400000000000002,-0.28,-0.48,-0.3600000000000001,-0.18000000000000005,0.039999999999999925,,,,,,,,,,0.99
